"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
44,"November 7, 2015",CA,"21","21",N/A,N/A
45,"November 14, 2015",CA,"22","22",N/A,N/A
47,"November 28, 2015",CA,"15","15",N/A,N/A
48,"December 5, 2015",CA,"50","50",N/A,N/A
49,"December 12, 2015",CA,"23","23",N/A,N/A
52,"January 2, 2016",CA,"106","106",N/A,N/A
1,"January 9, 2016",CA,"354","354",N/A,N/A
2,"January 16, 2016",CA,"414","414",N/A,N/A
3,"January 23, 2016",CA,"453","453",N/A,N/A
4,"January 30, 2016",CA,"536","536",N/A,N/A
5,"February 6, 2016",CA,"864","864",N/A,N/A
6,"February 13, 2016",CA,could not retrieve,could not retrieve,N/A,N/A
7,"February 20, 2016",CA,"1,5","1,5",N/A,N/A
8,"February 27, 2016",CA,"1,6","1,6",N/A,N/A
9,"March 5, 2016",CA,"1,3","1,3",N/A,N/A
10,"March 12, 2016",CA,"1,1","1,1",N/A,N/A
11,"March 19, 2016",CA,"885","885",N/A,N/A
12,"March 26, 2016",CA,"600","600",N/A,N/A
13,"April 2, 2016",CA,"470","470",N/A,N/A
14,"April 9, 2016",CA,"362","362",N/A,N/A
15,"April 16, 2016",CA,"227","227",N/A,N/A
16,"April 23, 2016",CA,"176","176",N/A,N/A
17,"April 30, 2016",CA,"140","140",N/A,N/A
18,"May 7, 2016",CA,"84","84",N/A,N/A
19,"May 14, 2016",CA,"49","49",N/A,N/A
20,"May 21, 2016",CA,"26","26",N/A,N/A
40,"October 8, 2016",CA,"26","26",N/A,N/A
41,"October 15, 2016",CA,"34","34",N/A,N/A
42,"October 22, 2016",CA,"30","30",N/A,N/A
44,"November 5, 2016",CA,"56","56",N/A,N/A
45,"November 12, 2016",CA,"76","76",N/A,N/A
47,"November 26, 2016",CA,"100","100",N/A,N/A
48,"December 3, 2016",CA,"150","150",N/A,N/A
49,"December 10, 2016",CA,"104","104",N/A,N/A
50,"December 17, 2016",CA,"465","465",N/A,N/A
51,"December 24, 2016",CA,"808","808",N/A,N/A
52,"December 31, 2016",CA,"1,4","1,4",N/A,N/A
1,"January 7, 2017",CA,"2,2","2,2",N/A,N/A
2,"January 14, 2017",CA,"1,9","1,9",N/A,N/A
3,"January 21, 2017",CA,"1,6","1,6",N/A,N/A
4,"January 28, 2017",CA,"1,4","1,4",N/A,N/A
5,"February 4, 2017",CA,"1,3","1,3",N/A,N/A
7,"February 18, 2017",CA,"771","771",N/A,N/A
8,"February 25, 2017",CA,"559","559",N/A,N/A
9,"March 4, 2017",CA,"450","450",N/A,N/A
10,"March 11, 2017",CA,"427","427",N/A,N/A
11,"March 18, 2017",CA,"414","414",N/A,N/A
12,"March 25, 2017",CA,"314","314",N/A,N/A
13,"April 1, 2017",CA,"269","269",N/A,N/A
14,"April 8, 2017",CA,"201","201",N/A,N/A
15,"April 15, 2017",CA,"166","166",N/A,N/A
16,"April 22, 2017",CA,"149","149",N/A,N/A
17,"April 29, 2017",CA,"129","129",N/A,N/A
18,"May 6, 2017",CA,"79","79",N/A,N/A
19,"May 13, 2017",CA,"74","74",N/A,N/A
20,"May 20, 2017",CA,"84","84",N/A,N/A
